time,projectId,userId,metric_id,chunk_index,quality,body_pose,accX,accY,accZ,1d_signal,timestamp
1667900290.0,TEST,user-test-000,0x2b,191,4,1,455,259,261,975,2022-11-08 09:38:10.000000000
1667900290.031,TEST,user-test-000,0x2b,191,4,1,460,233,303,996,2022-11-08 09:38:10.030999899
1667900290.062,TEST,user-test-000,0x2b,191,4,1,383,224,293,900,2022-11-08 09:38:10.062000036
1667900290.093,TEST,user-test-000,0x2b,191,4,1,295,262,273,830,2022-11-08 09:38:10.092999935
1667900290.125,TEST,user-test-000,0x2b,191,4,1,289,274,274,837,2022-11-08 09:38:10.125000000
1667900290.156,TEST,user-test-000,0x2b,191,4,1,324,281,287,892,2022-11-08 09:38:10.155999899
1667900290.187,TEST,user-test-000,0x2b,191,4,1,364,287,301,952,2022-11-08 09:38:10.187000036
1667900290.218,TEST,user-test-000,0x2b,191,4,1,372,296,308,976,2022-11-08 09:38:10.217999935
1667900290.25,TEST,user-test-000,0x2b,191,4,1,323,304,291,918,2022-11-08 09:38:10.250000000
1667900290.281,TEST,user-test-000,0x2b,191,4,1,284,311,301,896,2022-11-08 09:38:10.280999899
1667900290.312,TEST,user-test-000,0x2b,191,4,1,264,317,305,886,2022-11-08 09:38:10.312000036
1667900290.343,TEST,user-test-000,0x2b,191,4,1,262,322,294,878,2022-11-08 09:38:10.342999935
1667900290.375,TEST,user-test-000,0x2b,191,4,1,266,322,281,869,2022-11-08 09:38:10.375000000
1667900290.406,TEST,user-test-000,0x2b,191,4,1,258,332,293,883,2022-11-08 09:38:10.405999899
1667900290.437,TEST,user-test-000,0x2b,191,4,1,230,341,291,862,2022-11-08 09:38:10.437000036
1667900290.468,TEST,user-test-000,0x2b,191,4,1,196,350,282,828,2022-11-08 09:38:10.467999935
1667900290.5,TEST,user-test-000,0x2b,191,4,1,170,361,276,807,2022-11-08 09:38:10.500000000
1667900290.531,TEST,user-test-000,0x2b,191,4,1,170,362,274,806,2022-11-08 09:38:10.530999899
1667900290.562,TEST,user-test-000,0x2b,191,4,1,163,359,286,808,2022-11-08 09:38:10.562000036
1667900290.593,TEST,user-test-000,0x2b,191,4,1,163,362,301,826,2022-11-08 09:38:10.592999935
1667900290.625,TEST,user-test-000,0x2b,191,4,1,174,370,312,856,2022-11-08 09:38:10.625000000
1667900290.656,TEST,user-test-000,0x2b,191,4,1,189,370,312,871,2022-11-08 09:38:10.655999899
1667900290.687,TEST,user-test-000,0x2b,191,4,1,195,366,321,882,2022-11-08 09:38:10.687000036
1667900290.718,TEST,user-test-000,0x2b,191,4,1,200,363,317,880,2022-11-08 09:38:10.717999935
1667900290.75,TEST,user-test-000,0x2b,191,4,1,196,362,306,864,2022-11-08 09:38:10.750000000
1667900290.781,TEST,user-test-000,0x2b,191,4,1,180,363,295,838,2022-11-08 09:38:10.780999899
