time,projectId,userId,metric_id,chunk_index,quality,body_pose,accX,accY,accZ,1d_signal,timestamp,alignment_point
1667900290.3675852,TEST,user-test-000,0x2b,191,4,1,455,259,261,975,2022-11-08 09:38:10.367585182,
1667900290.3984375,TEST,user-test-000,0x2b,191,4,1,460,233,303,996,2022-11-08 09:38:10.398437500,
1667900290.42929,TEST,user-test-000,0x2b,191,4,1,383,224,293,900,2022-11-08 09:38:10.429290056,
1667900290.4601424,TEST,user-test-000,0x2b,191,4,1,295,262,273,830,2022-11-08 09:38:10.460142374,
1667900290.4919899,TEST,user-test-000,0x2b,191,4,1,289,274,274,837,2022-11-08 09:38:10.491989851,
1667900290.5228422,TEST,user-test-000,0x2b,191,4,1,324,281,287,892,2022-11-08 09:38:10.522842169,
1667900290.5536947,TEST,user-test-000,0x2b,191,4,1,364,287,301,952,2022-11-08 09:38:10.553694725,
1667900290.5845468,TEST,user-test-000,0x2b,191,4,1,372,296,308,976,2022-11-08 09:38:10.584546804,
1667900290.6163945,TEST,user-test-000,0x2b,191,4,1,323,304,291,918,2022-11-08 09:38:10.616394520,
1667900290.6472468,TEST,user-test-000,0x2b,191,4,1,284,311,301,896,2022-11-08 09:38:10.647246838,
1667900290.6780994,TEST,user-test-000,0x2b,191,4,1,264,317,305,886,2022-11-08 09:38:10.678099394,
1667900290.7089515,TEST,user-test-000,0x2b,191,4,1,262,322,294,878,2022-11-08 09:38:10.708951473,
1667900290.7407992,TEST,user-test-000,0x2b,191,4,1,266,322,281,869,2022-11-08 09:38:10.740799189,
1667900290.7716515,TEST,user-test-000,0x2b,191,4,1,258,332,293,883,2022-11-08 09:38:10.771651506,
1667900290.802504,TEST,user-test-000,0x2b,191,4,1,230,341,291,862,2022-11-08 09:38:10.802504063,
1667900290.8333561,TEST,user-test-000,0x2b,191,4,1,196,350,282,828,2022-11-08 09:38:10.833356142,
1667900290.8652039,TEST,user-test-000,0x2b,191,4,1,170,361,276,807,2022-11-08 09:38:10.865203857,
