time,projectId,userId,acc_x,acc_y,acc_z,1d_signal,timestamp
1667900290.002,SCAI-SENSEI,sensei-103,1.014,-1.119,-0.102,2.235,2022-11-08 09:38:10.002000093
1667900290.012,SCAI-SENSEI,sensei-103,0.93,-1.225,-0.109,2.2640000000000002,2022-11-08 09:38:10.012000084
1667900290.022,SCAI-SENSEI,sensei-103,0.797,-1.068,-0.08,1.9450000000000003,2022-11-08 09:38:10.022000074
1667900290.032,SCAI-SENSEI,sensei-103,0.732,-0.893,-0.035,1.66,2022-11-08 09:38:10.032000065
1667900290.042,SCAI-SENSEI,sensei-103,0.809,-0.768,0.162,1.7389999999999999,2022-11-08 09:38:10.042000055
1667900290.052,SCAI-SENSEI,sensei-103,0.818,-0.77,0.186,1.774,2022-11-08 09:38:10.052000046
1667900290.062,SCAI-SENSEI,sensei-103,0.842,-0.77,0.182,1.794,2022-11-08 09:38:10.062000036
1667900290.072,SCAI-SENSEI,sensei-103,0.807,-0.678,0.15,1.635,2022-11-08 09:38:10.072000027
1667900290.082,SCAI-SENSEI,sensei-103,0.775,-0.574,0.113,1.462,2022-11-08 09:38:10.082000017
1667900290.092,SCAI-SENSEI,sensei-103,0.832,-0.568,0.072,1.472,2022-11-08 09:38:10.092000008
1667900290.102,SCAI-SENSEI,sensei-103,0.822,-0.496,0.113,1.431,2022-11-08 09:38:10.101999998
1667900290.112,SCAI-SENSEI,sensei-103,0.801,-0.447,0.092,1.34,2022-11-08 09:38:10.111999989
1667900290.122,SCAI-SENSEI,sensei-103,0.811,-0.395,0.068,1.274,2022-11-08 09:38:10.121999979
1667900290.132,SCAI-SENSEI,sensei-103,0.818,-0.486,0.006,1.3099999999999998,2022-11-08 09:38:10.131999969
1667900290.142,SCAI-SENSEI,sensei-103,0.85,-0.459,0.09,1.399,2022-11-08 09:38:10.141999960
1667900290.152,SCAI-SENSEI,sensei-103,0.902,-0.637,0.051,1.59,2022-11-08 09:38:10.151999950
1667900290.162,SCAI-SENSEI,sensei-103,0.895,-0.68,0.01,1.5850000000000002,2022-11-08 09:38:10.161999941
1667900290.172,SCAI-SENSEI,sensei-103,0.885,-0.727,0.055,1.667,2022-11-08 09:38:10.171999931
1667900290.182,SCAI-SENSEI,sensei-103,0.867,-0.795,0.045,1.7069999999999999,2022-11-08 09:38:10.181999922
1667900290.192,SCAI-SENSEI,sensei-103,0.826,-0.824,0.117,1.767,2022-11-08 09:38:10.191999912
1667900290.202,SCAI-SENSEI,sensei-103,0.836,-0.83,0.158,1.8239999999999998,2022-11-08 09:38:10.201999903
1667900290.212,SCAI-SENSEI,sensei-103,0.814,-0.766,0.145,1.725,2022-11-08 09:38:10.211999893
1667900290.222,SCAI-SENSEI,sensei-103,0.807,-0.713,0.172,1.692,2022-11-08 09:38:10.221999884
1667900290.232,SCAI-SENSEI,sensei-103,0.797,-0.646,0.16,1.603,2022-11-08 09:38:10.232000113
1667900290.242,SCAI-SENSEI,sensei-103,0.785,-0.568,0.186,1.539,2022-11-08 09:38:10.242000103
1667900290.252,SCAI-SENSEI,sensei-103,0.779,-0.514,0.178,1.471,2022-11-08 09:38:10.252000092
1667900290.262,SCAI-SENSEI,sensei-103,0.803,-0.479,0.16,1.442,2022-11-08 09:38:10.262000084
1667900290.272,SCAI-SENSEI,sensei-103,0.816,-0.465,0.191,1.472,2022-11-08 09:38:10.272000074
1667900290.282,SCAI-SENSEI,sensei-103,0.816,-0.453,0.164,1.4329999999999998,2022-11-08 09:38:10.282000065
1667900290.292,SCAI-SENSEI,sensei-103,0.82,-0.445,0.168,1.4329999999999998,2022-11-08 09:38:10.292000055
1667900290.302,SCAI-SENSEI,sensei-103,0.824,-0.447,0.215,1.486,2022-11-08 09:38:10.302000046
1667900290.312,SCAI-SENSEI,sensei-103,0.84,-0.453,0.188,1.4809999999999999,2022-11-08 09:38:10.312000036
1667900290.322,SCAI-SENSEI,sensei-103,0.844,-0.475,0.242,1.561,2022-11-08 09:38:10.322000027
1667900290.332,SCAI-SENSEI,sensei-103,0.836,-0.455,0.221,1.512,2022-11-08 09:38:10.332000017
1667900290.342,SCAI-SENSEI,sensei-103,0.846,-0.467,0.246,1.559,2022-11-08 09:38:10.342000008
