time,projectId,userId,device1,device1_value0,device1_value1,device1_value2,device1_value3,device1_value4,device1_value5,device1_value6,device1_value7,device1_value8,device1_value9,device1_value10,device1_value11,device1_value12,device2,device2_value0,device2_value1,device2_value2,device2_value3,device2_value4,device2_value5,device2_value6,device2_value7,device2_value8,device2_value9,device2_value10,device2_value11,device2_value12,1d_signal,timestamp
1667897861.438,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,52,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,220,59,2022-11-08 08:57:41.437999964
1667897861.57,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,53,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,221,61,2022-11-08 08:57:41.569999933
1667897861.636,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,54,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,222,62,2022-11-08 08:57:41.635999918
1667897861.769,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,55,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,223,62,2022-11-08 08:57:41.769000053
1667897861.838,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,56,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,224,63,2022-11-08 08:57:41.838000059
1667897861.957,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,57,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,225,64,2022-11-08 08:57:41.957000017
1667897862.051,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,58,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,226,65,2022-11-08 08:57:42.051000118
1667897862.167,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,59,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,227,66,2022-11-08 08:57:42.167000055
1667897862.25,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,60,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,228,68,2022-11-08 08:57:42.250000000
1667897862.366,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,61,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,229,68,2022-11-08 08:57:42.365999937
1667897862.454,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,62,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,230,69,2022-11-08 08:57:42.453999996
1667897862.565,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,63,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,231,71,2022-11-08 08:57:42.565000057
1667897862.68,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,64,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,232,71,2022-11-08 08:57:42.680000067
1667897862.764,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,65,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,233,72,2022-11-08 08:57:42.763999939
1667897862.882,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,0,0,0,3,0,0,0,0,66,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,234,72,2022-11-08 08:57:42.881999969
1667897862.963,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,0,0,0,3,0,0,0,0,67,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,235,73,2022-11-08 08:57:42.963000059
1667897863.078,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,0,0,0,3,0,0,0,0,68,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,236,74,2022-11-08 08:57:43.078000069
1667897863.161,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,0,0,0,4,0,0,0,0,69,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,237,76,2022-11-08 08:57:43.161000013
1667897863.277,SCAI-SENSEI,sensei-103,Sensomative_3001,2,0,0,0,1,0,0,3,0,0,0,0,70,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,238,76,2022-11-08 08:57:43.276999950
1667897863.36,SCAI-SENSEI,sensei-103,Sensomative_3001,2,0,0,0,1,0,0,3,0,0,0,0,71,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,239,77,2022-11-08 08:57:43.359999895
1667897863.495,SCAI-SENSEI,sensei-103,Sensomative_3001,2,0,0,0,1,0,0,3,0,0,0,0,72,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,240,78,2022-11-08 08:57:43.494999886
1667897863.561,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,73,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,241,80,2022-11-08 08:57:43.561000109
1667897863.691,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,74,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,242,81,2022-11-08 08:57:43.690999985
1667897863.757,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,75,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,243,83,2022-11-08 08:57:43.756999969
1667897863.89,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,76,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,244,83,2022-11-08 08:57:43.890000105
1667897863.956,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,3,0,0,0,0,77,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,245,84,2022-11-08 08:57:43.956000090
1667897864.091,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,78,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,246,86,2022-11-08 08:57:44.091000080
1667897864.157,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,0,0,0,4,0,0,0,0,79,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,247,86,2022-11-08 08:57:44.157000065
1667897864.287,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,0,0,0,4,0,0,0,0,80,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,248,87,2022-11-08 08:57:44.286999941
1667897864.375,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,81,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,249,89,2022-11-08 08:57:44.375000000
1667897864.486,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,82,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,250,90,2022-11-08 08:57:44.486000061
1667897864.569,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,83,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,251,91,2022-11-08 08:57:44.569000006
1667897864.691,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,84,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,252,92,2022-11-08 08:57:44.690999985
1667897864.768,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,85,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,253,93,2022-11-08 08:57:44.767999887
1667897864.883,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,86,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,254,94,2022-11-08 08:57:44.882999897
1667897864.966,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,87,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,255,95,2022-11-08 08:57:44.966000080
1667897865.084,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,88,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,0,96,2022-11-08 08:57:45.084000111
1667897865.168,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,89,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,1,97,2022-11-08 08:57:45.167999983
1667897865.281,SCAI-SENSEI,sensei-103,Sensomative_3001,3,0,0,0,1,0,0,4,0,0,0,0,90,Sensomative_3755,0,0,0,0,0,0,0,0,0,0,0,0,2,98,2022-11-08 08:57:45.280999899
