projectId,userId,time,x,y,z,1d_signal,timestamp
SCAI-SENSEI,user_sensei_103,1667897840.074,-993,1669,746,3408,2022-11-08 08:57:20.073999882
SCAI-SENSEI,user_sensei_103,1667897840.274,-1025,1781,801,3607,2022-11-08 08:57:20.273999929
SCAI-SENSEI,user_sensei_103,1667897840.474,-1053,1606,622,3281,2022-11-08 08:57:20.473999977
SCAI-SENSEI,user_sensei_103,1667897840.674,-1189,1455,357,3001,2022-11-08 08:57:20.674000025
SCAI-SENSEI,user_sensei_103,1667897840.874,-637,2406,731,3774,2022-11-08 08:57:20.874000072
SCAI-SENSEI,user_sensei_103,1667897841.074,186,1864,203,2253,2022-11-08 08:57:21.073999882
SCAI-SENSEI,user_sensei_103,1667897841.274,115,1840,98,2053,2022-11-08 08:57:21.273999929
SCAI-SENSEI,user_sensei_103,1667897841.474,-1077,2260,-113,3450,2022-11-08 08:57:21.473999977
SCAI-SENSEI,user_sensei_103,1667897841.674,-1302,1518,-201,3021,2022-11-08 08:57:21.674000025
SCAI-SENSEI,user_sensei_103,1667897841.874,-1265,1723,210,3198,2022-11-08 08:57:21.874000072
SCAI-SENSEI,user_sensei_103,1667897842.074,-459,1422,1061,2942,2022-11-08 08:57:22.073999882
SCAI-SENSEI,user_sensei_103,1667897842.274,-580,1903,1063,3546,2022-11-08 08:57:22.273999929
SCAI-SENSEI,user_sensei_103,1667897842.474,-1505,1869,446,3820,2022-11-08 08:57:22.473999977
SCAI-SENSEI,user_sensei_103,1667897842.674,-1307,1498,448,3253,2022-11-08 08:57:22.674000025
SCAI-SENSEI,user_sensei_103,1667897842.874,-871,1692,658,3221,2022-11-08 08:57:22.874000072
SCAI-SENSEI,user_sensei_103,1667897843.074,-622,1707,748,3077,2022-11-08 08:57:23.073999882
SCAI-SENSEI,user_sensei_103,1667897843.274,-628,1769,755,3152,2022-11-08 08:57:23.273999929
SCAI-SENSEI,user_sensei_103,1667897843.474,-729,1719,686,3134,2022-11-08 08:57:23.473999977
SCAI-SENSEI,user_sensei_103,1667897843.674,-827,1736,724,3287,2022-11-08 08:57:23.674000025
SCAI-SENSEI,user_sensei_103,1667897843.874,-867,1769,704,3340,2022-11-08 08:57:23.874000072
SCAI-SENSEI,user_sensei_103,1667897844.074,-896,1656,756,3308,2022-11-08 08:57:24.073999882
SCAI-SENSEI,user_sensei_103,1667897844.274,-891,1681,736,3308,2022-11-08 08:57:24.273999929
SCAI-SENSEI,user_sensei_103,1667897844.474,-914,1677,750,3341,2022-11-08 08:57:24.473999977
SCAI-SENSEI,user_sensei_103,1667897844.674,-915,1681,806,3402,2022-11-08 08:57:24.674000025
SCAI-SENSEI,user_sensei_103,1667897844.874,-878,1624,695,3197,2022-11-08 08:57:24.874000072
SCAI-SENSEI,user_sensei_103,1667897845.074,-858,1670,893,3421,2022-11-08 08:57:25.073999882
SCAI-SENSEI,user_sensei_103,1667897845.274,-772,1646,839,3257,2022-11-08 08:57:25.273999929
SCAI-SENSEI,user_sensei_103,1667897845.474,-838,1641,842,3321,2022-11-08 08:57:25.473999977
SCAI-SENSEI,user_sensei_103,1667897845.674,-818,1641,802,3261,2022-11-08 08:57:25.674000025
SCAI-SENSEI,user_sensei_103,1667897845.874,-842,1658,819,3319,2022-11-08 08:57:25.874000072
SCAI-SENSEI,user_sensei_103,1667897846.074,-833,1666,811,3310,2022-11-08 08:57:26.073999882
SCAI-SENSEI,user_sensei_103,1667897846.274,-766,1707,821,3294,2022-11-08 08:57:26.273999929
SCAI-SENSEI,user_sensei_103,1667897846.474,-848,1679,798,3325,2022-11-08 08:57:26.473999977
SCAI-SENSEI,user_sensei_103,1667897846.674,-854,1669,864,3387,2022-11-08 08:57:26.674000025
SCAI-SENSEI,user_sensei_103,1667897846.874,-826,1666,805,3297,2022-11-08 08:57:26.874000072
SCAI-SENSEI,user_sensei_103,1667897847.074,-850,1664,828,3342,2022-11-08 08:57:27.073999882
SCAI-SENSEI,user_sensei_103,1667897847.274,-851,1663,818,3332,2022-11-08 08:57:27.273999929
SCAI-SENSEI,user_sensei_103,1667897847.474,-860,1659,832,3351,2022-11-08 08:57:27.473999977
SCAI-SENSEI,user_sensei_103,1667897847.674,-880,1649,871,3400,2022-11-08 08:57:27.674000025
SCAI-SENSEI,user_sensei_103,1667897847.874,-878,1645,820,3343,2022-11-08 08:57:27.874000072
SCAI-SENSEI,user_sensei_103,1667897848.074,-640,1729,480,2849,2022-11-08 08:57:28.073999882
SCAI-SENSEI,user_sensei_103,1667897848.274,-614,1790,346,2750,2022-11-08 08:57:28.273999929
SCAI-SENSEI,user_sensei_103,1667897848.474,-951,1913,100,2964,2022-11-08 08:57:28.473999977
SCAI-SENSEI,user_sensei_103,1667897848.674,-990,1855,-68,2913,2022-11-08 08:57:28.674000025
SCAI-SENSEI,user_sensei_103,1667897848.874,-1111,1832,-96,3039,2022-11-08 08:57:28.874000072
SCAI-SENSEI,user_sensei_103,1667897849.074,-971,1916,121,3008,2022-11-08 08:57:29.073999882
SCAI-SENSEI,user_sensei_103,1667897849.274,-758,2059,112,2929,2022-11-08 08:57:29.273999929
SCAI-SENSEI,user_sensei_103,1667897849.474,-639,1792,304,2735,2022-11-08 08:57:29.473999977
SCAI-SENSEI,user_sensei_103,1667897849.674,-747,1715,630,3092,2022-11-08 08:57:29.674000025
SCAI-SENSEI,user_sensei_103,1667897849.874,-774,1667,750,3191,2022-11-08 08:57:29.874000072
SCAI-SENSEI,user_sensei_103,1667897850.074,-801,1570,853,3224,2022-11-08 08:57:30.073999882
SCAI-SENSEI,user_sensei_103,1667897850.274,-808,1620,920,3348,2022-11-08 08:57:30.273999929
SCAI-SENSEI,user_sensei_103,1667897850.474,-831,1621,870,3322,2022-11-08 08:57:30.473999977
SCAI-SENSEI,user_sensei_103,1667897850.674,-879,1625,906,3410,2022-11-08 08:57:30.674000025
SCAI-SENSEI,user_sensei_103,1667897850.874,-860,1632,871,3363,2022-11-08 08:57:30.874000072
SCAI-SENSEI,user_sensei_103,1667897851.074,-844,1625,832,3301,2022-11-08 08:57:31.073999882
SCAI-SENSEI,user_sensei_103,1667897851.274,-857,1657,847,3361,2022-11-08 08:57:31.273999929
SCAI-SENSEI,user_sensei_103,1667897851.474,-830,1691,832,3353,2022-11-08 08:57:31.473999977
SCAI-SENSEI,user_sensei_103,1667897851.674,-817,1684,816,3317,2022-11-08 08:57:31.674000025
