projectId,userId,time,x,y,z,1d_signal,timestamp,alignment_point
SCAI-SENSEI,user_sensei_103,1667897835.5310001,-993,1669,746,3408,2022-11-08 08:57:15.531000137,
SCAI-SENSEI,user_sensei_103,1667897835.7295296,-1025,1781,801,3607,2022-11-08 08:57:15.729529619,
SCAI-SENSEI,user_sensei_103,1667897835.9280589,-1053,1606,622,3281,2022-11-08 08:57:15.928058863,
SCAI-SENSEI,user_sensei_103,1667897836.1265883,-1189,1455,357,3001,2022-11-08 08:57:16.126588344,
SCAI-SENSEI,user_sensei_103,1667897836.3251178,-637,2406,731,3774,2022-11-08 08:57:16.325117826,
SCAI-SENSEI,user_sensei_103,1667897836.523647,186,1864,203,2253,2022-11-08 08:57:16.523647070,
SCAI-SENSEI,user_sensei_103,1667897836.7221766,115,1840,98,2053,2022-11-08 08:57:16.722176552,
SCAI-SENSEI,user_sensei_103,1667897836.920706,-1077,2260,-113,3450,2022-11-08 08:57:16.920706034,
SCAI-SENSEI,user_sensei_103,1667897837.1192355,-1302,1518,-201,3021,2022-11-08 08:57:17.119235516,
SCAI-SENSEI,user_sensei_103,1667897837.317765,-1265,1723,210,3198,2022-11-08 08:57:17.317764997,
SCAI-SENSEI,user_sensei_103,1667897837.5162942,-459,1422,1061,2942,2022-11-08 08:57:17.516294241,
SCAI-SENSEI,user_sensei_103,1667897837.7148237,-580,1903,1063,3546,2022-11-08 08:57:17.714823723,
SCAI-SENSEI,user_sensei_103,1667897837.913353,-1505,1869,446,3820,2022-11-08 08:57:17.913352966,
SCAI-SENSEI,user_sensei_103,1667897838.1118824,-1307,1498,448,3253,2022-11-08 08:57:18.111882448,
SCAI-SENSEI,user_sensei_103,1667897838.310412,-871,1692,658,3221,2022-11-08 08:57:18.310411930,
SCAI-SENSEI,user_sensei_103,1667897838.5089412,-622,1707,748,3077,2022-11-08 08:57:18.508941174,
SCAI-SENSEI,user_sensei_103,1667897838.7074707,-628,1769,755,3152,2022-11-08 08:57:18.707470655,
SCAI-SENSEI,user_sensei_103,1667897838.9060001,-729,1719,686,3134,2022-11-08 08:57:18.906000137,
SCAI-SENSEI,user_sensei_103,1667897839.1045296,-827,1736,724,3287,2022-11-08 08:57:19.104529619,
SCAI-SENSEI,user_sensei_103,1667897839.303059,-867,1769,704,3340,2022-11-08 08:57:19.303059101,
SCAI-SENSEI,user_sensei_103,1667897839.5015883,-896,1656,756,3308,2022-11-08 08:57:19.501588345,
SCAI-SENSEI,user_sensei_103,1667897839.7001178,-891,1681,736,3308,2022-11-08 08:57:19.700117826,
SCAI-SENSEI,user_sensei_103,1667897839.8986473,-914,1677,750,3341,2022-11-08 08:57:19.898647308,
SCAI-SENSEI,user_sensei_103,1667897840.0971766,-915,1681,806,3402,2022-11-08 08:57:20.097176552,
SCAI-SENSEI,user_sensei_103,1667897840.295706,-878,1624,695,3197,2022-11-08 08:57:20.295706034,
SCAI-SENSEI,user_sensei_103,1667897840.4942353,-858,1670,893,3421,2022-11-08 08:57:20.494235277,
SCAI-SENSEI,user_sensei_103,1667897840.6927648,-772,1646,839,3257,2022-11-08 08:57:20.692764759,
SCAI-SENSEI,user_sensei_103,1667897840.8912942,-838,1641,842,3321,2022-11-08 08:57:20.891294241,
SCAI-SENSEI,user_sensei_103,1667897841.0898237,-818,1641,802,3261,2022-11-08 08:57:21.089823723,
SCAI-SENSEI,user_sensei_103,1667897841.2883532,-842,1658,819,3319,2022-11-08 08:57:21.288353205,
SCAI-SENSEI,user_sensei_103,1667897841.4868824,-833,1666,811,3310,2022-11-08 08:57:21.486882448,
SCAI-SENSEI,user_sensei_103,1667897841.685412,-766,1707,821,3294,2022-11-08 08:57:21.685411930,
SCAI-SENSEI,user_sensei_103,1667897841.8839414,-848,1679,798,3325,2022-11-08 08:57:21.883941412,
SCAI-SENSEI,user_sensei_103,1667897842.0824707,-854,1669,864,3387,2022-11-08 08:57:22.082470655,
SCAI-SENSEI,user_sensei_103,1667897842.2810001,-826,1666,805,3297,2022-11-08 08:57:22.281000137,
SCAI-SENSEI,user_sensei_103,1667897842.4795294,-850,1664,828,3342,2022-11-08 08:57:22.479529381,
SCAI-SENSEI,user_sensei_103,1667897842.6780589,-851,1663,818,3332,2022-11-08 08:57:22.678058863,
SCAI-SENSEI,user_sensei_103,1667897842.8765883,-860,1659,832,3351,2022-11-08 08:57:22.876588345,
SCAI-SENSEI,user_sensei_103,1667897843.0751178,-880,1649,871,3400,2022-11-08 08:57:23.075117826,
SCAI-SENSEI,user_sensei_103,1667897843.2736473,-878,1645,820,3343,2022-11-08 08:57:23.273647308,
SCAI-SENSEI,user_sensei_103,1667897843.4721766,-640,1729,480,2849,2022-11-08 08:57:23.472176552,
SCAI-SENSEI,user_sensei_103,1667897843.670706,-614,1790,346,2750,2022-11-08 08:57:23.670706034,
SCAI-SENSEI,user_sensei_103,1667897843.8692355,-951,1913,100,2964,2022-11-08 08:57:23.869235516,
SCAI-SENSEI,user_sensei_103,1667897844.0677648,-990,1855,-68,2913,2022-11-08 08:57:24.067764759,
SCAI-SENSEI,user_sensei_103,1667897844.2662942,-1111,1832,-96,3039,2022-11-08 08:57:24.266294241,
SCAI-SENSEI,user_sensei_103,1667897844.4648235,-971,1916,121,3008,2022-11-08 08:57:24.464823484,
SCAI-SENSEI,user_sensei_103,1667897844.663353,-758,2059,112,2929,2022-11-08 08:57:24.663352966,
SCAI-SENSEI,user_sensei_103,1667897844.8618824,-639,1792,304,2735,2022-11-08 08:57:24.861882448,
SCAI-SENSEI,user_sensei_103,1667897845.060412,-747,1715,630,3092,2022-11-08 08:57:25.060411930,
SCAI-SENSEI,user_sensei_103,1667897845.2589414,-774,1667,750,3191,2022-11-08 08:57:25.258941411,
SCAI-SENSEI,user_sensei_103,1667897845.4574707,-801,1570,853,3224,2022-11-08 08:57:25.457470655,
SCAI-SENSEI,user_sensei_103,1667897845.6560001,-808,1620,920,3348,2022-11-08 08:57:25.656000137,
SCAI-SENSEI,user_sensei_103,1667897845.8545296,-831,1621,870,3322,2022-11-08 08:57:25.854529619,
SCAI-SENSEI,user_sensei_103,1667897846.0530589,-879,1625,906,3410,2022-11-08 08:57:26.053058863,
SCAI-SENSEI,user_sensei_103,1667897846.2515883,-860,1632,871,3363,2022-11-08 08:57:26.251588345,
SCAI-SENSEI,user_sensei_103,1667897846.4501176,-844,1625,832,3301,2022-11-08 08:57:26.450117588,
SCAI-SENSEI,user_sensei_103,1667897846.648647,-857,1657,847,3361,2022-11-08 08:57:26.648647070,
SCAI-SENSEI,user_sensei_103,1667897846.8471766,-830,1691,832,3353,2022-11-08 08:57:26.847176552,
SCAI-SENSEI,user_sensei_103,1667897847.045706,-817,1684,816,3317,2022-11-08 08:57:27.045706034,
SCAI-SENSEI,user_sensei_103,1667897847.2442355,-826,1709,837,3372,2022-11-08 08:57:27.244235516,
SCAI-SENSEI,user_sensei_103,1667897847.4427648,-833,1665,850,3348,2022-11-08 08:57:27.442764759,
SCAI-SENSEI,user_sensei_103,1667897847.6412942,-817,1647,824,3288,2022-11-08 08:57:27.641294241,
SCAI-SENSEI,user_sensei_103,1667897847.8398237,-825,1651,861,3337,2022-11-08 08:57:27.839823723,
SCAI-SENSEI,user_sensei_103,1667897848.038353,-838,1658,855,3351,2022-11-08 08:57:28.038352966,
SCAI-SENSEI,user_sensei_103,1667897848.2368824,-817,1679,835,3331,2022-11-08 08:57:28.236882448,
SCAI-SENSEI,user_sensei_103,1667897848.4354117,-822,1668,813,3303,2022-11-08 08:57:28.435411692,
SCAI-SENSEI,user_sensei_103,1667897848.6339412,-825,1680,835,3340,2022-11-08 08:57:28.633941174,
SCAI-SENSEI,user_sensei_103,1667897848.8324707,-829,1685,807,3321,2022-11-08 08:57:28.832470655,
SCAI-SENSEI,user_sensei_103,1667897849.0310001,-819,1682,792,3293,2022-11-08 08:57:29.031000137,
SCAI-SENSEI,user_sensei_103,1667897849.2295296,-831,1682,814,3327,2022-11-08 08:57:29.229529619,
SCAI-SENSEI,user_sensei_103,1667897849.4280589,-821,1687,810,3318,2022-11-08 08:57:29.428058863,
SCAI-SENSEI,user_sensei_103,1667897849.6265883,-819,1688,814,3321,2022-11-08 08:57:29.626588345,
SCAI-SENSEI,user_sensei_103,1667897849.8251178,-819,1684,804,3307,2022-11-08 08:57:29.825117826,
SCAI-SENSEI,user_sensei_103,1667897850.0236473,-826,1690,822,3338,2022-11-08 08:57:30.023647308,
SCAI-SENSEI,user_sensei_103,1667897850.2221766,-823,1700,811,3334,2022-11-08 08:57:30.222176552,
SCAI-SENSEI,user_sensei_103,1667897850.4207058,-828,1705,793,3326,2022-11-08 08:57:30.420705795,
SCAI-SENSEI,user_sensei_103,1667897850.6192353,-834,1693,771,3298,2022-11-08 08:57:30.619235277,
SCAI-SENSEI,user_sensei_103,1667897850.8177648,-827,1691,805,3323,2022-11-08 08:57:30.817764759,
SCAI-SENSEI,user_sensei_103,1667897851.0162942,-820,1690,782,3292,2022-11-08 08:57:31.016294241,
SCAI-SENSEI,user_sensei_103,1667897851.2148237,-826,1690,785,3301,2022-11-08 08:57:31.214823723,
SCAI-SENSEI,user_sensei_103,1667897851.413353,-826,1690,780,3296,2022-11-08 08:57:31.413352966,
SCAI-SENSEI,user_sensei_103,1667897851.6118824,-830,1689,776,3295,2022-11-08 08:57:31.611882448,
SCAI-SENSEI,user_sensei_103,1667897851.810412,-829,1693,781,3303,2022-11-08 08:57:31.810411930,
SCAI-SENSEI,user_sensei_103,1667897852.0089414,-799,1713,777,3289,2022-11-08 08:57:32.008941412,
SCAI-SENSEI,user_sensei_103,1667897852.2074707,-805,1710,771,3286,2022-11-08 08:57:32.207470655,
SCAI-SENSEI,user_sensei_103,1667897852.406,-835,1701,738,3274,2022-11-08 08:57:32.405999899,
SCAI-SENSEI,user_sensei_103,1667897852.6045294,-819,1719,737,3275,2022-11-08 08:57:32.604529381,
SCAI-SENSEI,user_sensei_103,1667897852.8030589,-801,1748,709,3258,2022-11-08 08:57:32.803058863,
SCAI-SENSEI,user_sensei_103,1667897853.0015883,-808,1708,691,3207,2022-11-08 08:57:33.001588345,
SCAI-SENSEI,user_sensei_103,1667897853.2001178,-834,1716,714,3264,2022-11-08 08:57:33.200117826,
