time,projectId,userId,metric_id,chunk_index,quality,body_pose,accX,accY,accZ,1d_signal,timestamp
1667910850.0,TEST,user-test-000,0x2b,135,4,1,28,-183,484,695,2022-11-08 12:34:10.000000000
1667910850.031,TEST,user-test-000,0x2b,135,4,1,28,-180,484,692,2022-11-08 12:34:10.030999899
1667910850.062,TEST,user-test-000,0x2b,135,4,1,28,-178,482,688,2022-11-08 12:34:10.062000036
1667910850.093,TEST,user-test-000,0x2b,135,4,1,29,-179,483,691,2022-11-08 12:34:10.092999935
1667910850.125,TEST,user-test-000,0x2b,135,4,1,28,-180,485,693,2022-11-08 12:34:10.125000000
1667910850.156,TEST,user-test-000,0x2b,135,4,1,26,-180,485,691,2022-11-08 12:34:10.155999899
1667910850.187,TEST,user-test-000,0x2b,135,4,1,26,-180,484,690,2022-11-08 12:34:10.187000036
1667910850.218,TEST,user-test-000,0x2b,135,4,1,28,-181,485,694,2022-11-08 12:34:10.217999935
1667910850.25,TEST,user-test-000,0x2b,135,4,1,28,-181,486,695,2022-11-08 12:34:10.250000000
1667910850.281,TEST,user-test-000,0x2b,135,4,1,28,-181,487,696,2022-11-08 12:34:10.280999899
1667910850.312,TEST,user-test-000,0x2b,135,4,1,29,-182,487,698,2022-11-08 12:34:10.312000036
1667910850.343,TEST,user-test-000,0x2b,135,4,1,29,-184,487,700,2022-11-08 12:34:10.342999935
1667910850.375,TEST,user-test-000,0x2b,135,4,1,29,-182,486,697,2022-11-08 12:34:10.375000000
1667910850.406,TEST,user-test-000,0x2b,135,4,1,28,-181,486,695,2022-11-08 12:34:10.405999899
1667910850.437,TEST,user-test-000,0x2b,135,4,1,26,-182,486,694,2022-11-08 12:34:10.437000036
1667910850.468,TEST,user-test-000,0x2b,135,4,1,26,-182,485,693,2022-11-08 12:34:10.467999935
1667910850.5,TEST,user-test-000,0x2b,135,4,1,26,-183,484,693,2022-11-08 12:34:10.500000000
1667910850.531,TEST,user-test-000,0x2b,135,4,1,28,-182,486,696,2022-11-08 12:34:10.530999899
1667910850.562,TEST,user-test-000,0x2b,135,4,1,29,-181,485,695,2022-11-08 12:34:10.562000036
1667910850.593,TEST,user-test-000,0x2b,135,4,1,29,-179,482,690,2022-11-08 12:34:10.592999935
1667910850.625,TEST,user-test-000,0x2b,135,4,1,30,-183,489,702,2022-11-08 12:34:10.625000000
1667910850.656,TEST,user-test-000,0x2b,135,4,1,28,-180,488,696,2022-11-08 12:34:10.655999899
1667910850.687,TEST,user-test-000,0x2b,135,4,1,27,-180,486,693,2022-11-08 12:34:10.687000036
1667910850.718,TEST,user-test-000,0x2b,135,4,1,27,-182,486,695,2022-11-08 12:34:10.717999935
1667910850.75,TEST,user-test-000,0x2b,135,4,1,25,-182,487,694,2022-11-08 12:34:10.750000000
1667910850.781,TEST,user-test-000,0x2b,135,4,1,27,-181,485,693,2022-11-08 12:34:10.780999899
1667910850.812,TEST,user-test-000,0x2b,135,4,1,27,-181,484,692,2022-11-08 12:34:10.812000036
1667910850.843,TEST,user-test-000,0x2b,135,4,1,28,-182,484,694,2022-11-08 12:34:10.842999935
1667910850.875,TEST,user-test-000,0x2b,135,4,1,28,-181,484,693,2022-11-08 12:34:10.875000000
1667910850.906,TEST,user-test-000,0x2b,135,4,1,26,-179,485,690,2022-11-08 12:34:10.905999899
1667910850.937,TEST,user-test-000,0x2b,135,4,1,25,-179,484,688,2022-11-08 12:34:10.937000036
1667910850.968,TEST,user-test-000,0x2b,135,4,1,26,-180,484,690,2022-11-08 12:34:10.967999935
1667910851.0,TEST,user-test-000,0x2b,136,4,1,27,-179,484,690,2022-11-08 12:34:11.000000000
1667910851.031,TEST,user-test-000,0x2b,136,4,1,27,-179,486,692,2022-11-08 12:34:11.030999899
1667910851.062,TEST,user-test-000,0x2b,136,4,1,25,-182,486,693,2022-11-08 12:34:11.062000036
1667910851.093,TEST,user-test-000,0x2b,136,4,1,25,-180,485,690,2022-11-08 12:34:11.092999935
1667910851.125,TEST,user-test-000,0x2b,136,4,1,26,-179,485,690,2022-11-08 12:34:11.125000000
1667910851.156,TEST,user-test-000,0x2b,136,4,1,28,-181,485,694,2022-11-08 12:34:11.155999899
1667910851.187,TEST,user-test-000,0x2b,136,4,1,29,-180,484,693,2022-11-08 12:34:11.187000036
1667910851.218,TEST,user-test-000,0x2b,136,4,1,28,-180,484,692,2022-11-08 12:34:11.217999935
1667910851.25,TEST,user-test-000,0x2b,136,4,1,27,-181,484,692,2022-11-08 12:34:11.250000000
1667910851.281,TEST,user-test-000,0x2b,136,4,1,26,-180,484,690,2022-11-08 12:34:11.280999899
1667910851.312,TEST,user-test-000,0x2b,136,4,1,27,-181,485,693,2022-11-08 12:34:11.312000036
1667910851.343,TEST,user-test-000,0x2b,136,4,1,27,-181,486,694,2022-11-08 12:34:11.342999935
1667910851.375,TEST,user-test-000,0x2b,136,4,1,28,-181,487,696,2022-11-08 12:34:11.375000000
1667910851.406,TEST,user-test-000,0x2b,136,4,1,28,-181,486,695,2022-11-08 12:34:11.405999899
