projectId,userId,time,x,y,z,1d_signal,timestamp,alignment_point
SCAI-SENSEI,user_sensei_178,1667912841.18141,208,415,-1934,2557,2022-11-08 13:07:21.181410074,
SCAI-SENSEI,user_sensei_178,1667912841.38328,83,597,-2088,2768,2022-11-08 13:07:21.383280039,
SCAI-SENSEI,user_sensei_178,1667912841.58515,124,579,-1896,2599,2022-11-08 13:07:21.585150003,
SCAI-SENSEI,user_sensei_178,1667912841.78702,90,513,-1869,2472,2022-11-08 13:07:21.787019968,
SCAI-SENSEI,user_sensei_178,1667912841.98889,448,421,-2006,2875,2022-11-08 13:07:21.988889933,
SCAI-SENSEI,user_sensei_178,1667912842.19076,572,1202,-1850,3624,2022-11-08 13:07:22.190759897,
SCAI-SENSEI,user_sensei_178,1667912842.39263,112,632,-1388,2132,2022-11-08 13:07:22.392630100,
SCAI-SENSEI,user_sensei_178,1667912842.5945,210,-185,-1843,2238,2022-11-08 13:07:22.594500065,
SCAI-SENSEI,user_sensei_178,1667912842.79637,143,322,-2040,2505,2022-11-08 13:07:22.796370029,
SCAI-SENSEI,user_sensei_178,1667912842.99824,323,136,-1959,2418,2022-11-08 13:07:22.998239994,
SCAI-SENSEI,user_sensei_178,1667912843.2001102,619,30,-1872,2521,2022-11-08 13:07:23.200110197,
SCAI-SENSEI,user_sensei_178,1667912843.4019802,195,666,-1858,2719,2022-11-08 13:07:23.401980162,
SCAI-SENSEI,user_sensei_178,1667912843.60385,423,398,-1813,2634,2022-11-08 13:07:23.603849888,
SCAI-SENSEI,user_sensei_178,1667912843.80572,526,-29,-2204,2759,2022-11-08 13:07:23.805720091,
SCAI-SENSEI,user_sensei_178,1667912844.00759,-312,499,-1955,2766,2022-11-08 13:07:24.007590055,
SCAI-SENSEI,user_sensei_178,1667912844.20946,-325,203,-2261,2789,2022-11-08 13:07:24.209460020,
SCAI-SENSEI,user_sensei_178,1667912844.4113302,166,1018,-1726,2910,2022-11-08 13:07:24.411330223,
SCAI-SENSEI,user_sensei_178,1667912844.6132,74,60,-2488,2622,2022-11-08 13:07:24.613199949,
SCAI-SENSEI,user_sensei_178,1667912844.81507,184,198,-1986,2368,2022-11-08 13:07:24.815069914,
SCAI-SENSEI,user_sensei_178,1667912845.01694,80,365,-1812,2257,2022-11-08 13:07:25.016940117,
SCAI-SENSEI,user_sensei_178,1667912845.21881,53,574,-2017,2644,2022-11-08 13:07:25.218810081,
SCAI-SENSEI,user_sensei_178,1667912845.42068,253,645,-1812,2710,2022-11-08 13:07:25.420680046,
SCAI-SENSEI,user_sensei_178,1667912845.62255,182,785,-1809,2776,2022-11-08 13:07:25.622550011,
SCAI-SENSEI,user_sensei_178,1667912845.82442,244,833,-1924,3001,2022-11-08 13:07:25.824419975,
SCAI-SENSEI,user_sensei_178,1667912846.02629,265,718,-1827,2810,2022-11-08 13:07:26.026289940,
SCAI-SENSEI,user_sensei_178,1667912846.22816,174,782,-1821,2777,2022-11-08 13:07:26.228159904,
SCAI-SENSEI,user_sensei_178,1667912846.43003,140,762,-1777,2679,2022-11-08 13:07:26.430030107,
SCAI-SENSEI,user_sensei_178,1667912846.6318998,159,802,-1809,2770,2022-11-08 13:07:26.631899834,
SCAI-SENSEI,user_sensei_178,1667912846.83377,118,795,-1831,2744,2022-11-08 13:07:26.833770037,
