projectId,userId,time,x,y,z,1d_signal,timestamp,alignment_point
SCAI-SENSEI,user_sensei_178,1667912841.43141,208,415,-1934,2557,2022-11-08 13:07:21.431410074,
SCAI-SENSEI,user_sensei_178,1667912841.63328,83,597,-2088,2768,2022-11-08 13:07:21.633280039,
SCAI-SENSEI,user_sensei_178,1667912841.83515,124,579,-1896,2599,2022-11-08 13:07:21.835150003,
SCAI-SENSEI,user_sensei_178,1667912842.03702,90,513,-1869,2472,2022-11-08 13:07:22.037019968,
SCAI-SENSEI,user_sensei_178,1667912842.23889,448,421,-2006,2875,2022-11-08 13:07:22.238889933,
SCAI-SENSEI,user_sensei_178,1667912842.44076,572,1202,-1850,3624,2022-11-08 13:07:22.440759897,
SCAI-SENSEI,user_sensei_178,1667912842.64263,112,632,-1388,2132,2022-11-08 13:07:22.642630100,
SCAI-SENSEI,user_sensei_178,1667912842.8445,210,-185,-1843,2238,2022-11-08 13:07:22.844500065,
SCAI-SENSEI,user_sensei_178,1667912843.04637,143,322,-2040,2505,2022-11-08 13:07:23.046370029,
SCAI-SENSEI,user_sensei_178,1667912843.24824,323,136,-1959,2418,2022-11-08 13:07:23.248239994,
SCAI-SENSEI,user_sensei_178,1667912843.4501102,619,30,-1872,2521,2022-11-08 13:07:23.450110197,
SCAI-SENSEI,user_sensei_178,1667912843.6519802,195,666,-1858,2719,2022-11-08 13:07:23.651980162,
SCAI-SENSEI,user_sensei_178,1667912843.85385,423,398,-1813,2634,2022-11-08 13:07:23.853849888,
SCAI-SENSEI,user_sensei_178,1667912844.05572,526,-29,-2204,2759,2022-11-08 13:07:24.055720091,
SCAI-SENSEI,user_sensei_178,1667912844.25759,-312,499,-1955,2766,2022-11-08 13:07:24.257590054,
SCAI-SENSEI,user_sensei_178,1667912844.45946,-325,203,-2261,2789,2022-11-08 13:07:24.459460020,
SCAI-SENSEI,user_sensei_178,1667912844.6613302,166,1018,-1726,2910,2022-11-08 13:07:24.661330223,
SCAI-SENSEI,user_sensei_178,1667912844.8632,74,60,-2488,2622,2022-11-08 13:07:24.863199949,
SCAI-SENSEI,user_sensei_178,1667912845.06507,184,198,-1986,2368,2022-11-08 13:07:25.065069914,
SCAI-SENSEI,user_sensei_178,1667912845.26694,80,365,-1812,2257,2022-11-08 13:07:25.266940116,
SCAI-SENSEI,user_sensei_178,1667912845.46881,53,574,-2017,2644,2022-11-08 13:07:25.468810081,
SCAI-SENSEI,user_sensei_178,1667912845.67068,253,645,-1812,2710,2022-11-08 13:07:25.670680046,
SCAI-SENSEI,user_sensei_178,1667912845.87255,182,785,-1809,2776,2022-11-08 13:07:25.872550011,
SCAI-SENSEI,user_sensei_178,1667912846.07442,244,833,-1924,3001,2022-11-08 13:07:26.074419975,
SCAI-SENSEI,user_sensei_178,1667912846.27629,265,718,-1827,2810,2022-11-08 13:07:26.276289940,
SCAI-SENSEI,user_sensei_178,1667912846.47816,174,782,-1821,2777,2022-11-08 13:07:26.478159904,
SCAI-SENSEI,user_sensei_178,1667912846.68003,140,762,-1777,2679,2022-11-08 13:07:26.680030107,
SCAI-SENSEI,user_sensei_178,1667912846.8818998,159,802,-1809,2770,2022-11-08 13:07:26.881899834,
SCAI-SENSEI,user_sensei_178,1667912847.08377,118,795,-1831,2744,2022-11-08 13:07:27.083770037,
SCAI-SENSEI,user_sensei_178,1667912847.28564,70,793,-1851,2714,2022-11-08 13:07:27.285640001,
