projectId,userId,time,x,y,z,1d_signal,timestamp
SCAI-SENSEI,user_sensei_178,1667912840.016,208,415,-1934,2557,2022-11-08 13:07:20.016000032
SCAI-SENSEI,user_sensei_178,1667912840.216,83,597,-2088,2768,2022-11-08 13:07:20.216000080
SCAI-SENSEI,user_sensei_178,1667912840.416,124,579,-1896,2599,2022-11-08 13:07:20.415999889
SCAI-SENSEI,user_sensei_178,1667912840.616,90,513,-1869,2472,2022-11-08 13:07:20.615999937
SCAI-SENSEI,user_sensei_178,1667912840.816,448,421,-2006,2875,2022-11-08 13:07:20.815999985
SCAI-SENSEI,user_sensei_178,1667912841.016,572,1202,-1850,3624,2022-11-08 13:07:21.016000032
SCAI-SENSEI,user_sensei_178,1667912841.216,112,632,-1388,2132,2022-11-08 13:07:21.216000080
SCAI-SENSEI,user_sensei_178,1667912841.416,210,-185,-1843,2238,2022-11-08 13:07:21.415999889
SCAI-SENSEI,user_sensei_178,1667912841.616,143,322,-2040,2505,2022-11-08 13:07:21.615999937
SCAI-SENSEI,user_sensei_178,1667912841.816,323,136,-1959,2418,2022-11-08 13:07:21.815999985
SCAI-SENSEI,user_sensei_178,1667912842.016,619,30,-1872,2521,2022-11-08 13:07:22.016000032
SCAI-SENSEI,user_sensei_178,1667912842.216,195,666,-1858,2719,2022-11-08 13:07:22.216000080
SCAI-SENSEI,user_sensei_178,1667912842.416,423,398,-1813,2634,2022-11-08 13:07:22.415999889
SCAI-SENSEI,user_sensei_178,1667912842.616,526,-29,-2204,2759,2022-11-08 13:07:22.615999937
SCAI-SENSEI,user_sensei_178,1667912842.816,-312,499,-1955,2766,2022-11-08 13:07:22.815999985
SCAI-SENSEI,user_sensei_178,1667912843.016,-325,203,-2261,2789,2022-11-08 13:07:23.016000032
SCAI-SENSEI,user_sensei_178,1667912843.216,166,1018,-1726,2910,2022-11-08 13:07:23.216000080
SCAI-SENSEI,user_sensei_178,1667912843.416,74,60,-2488,2622,2022-11-08 13:07:23.415999889
SCAI-SENSEI,user_sensei_178,1667912843.616,184,198,-1986,2368,2022-11-08 13:07:23.615999937
SCAI-SENSEI,user_sensei_178,1667912843.816,80,365,-1812,2257,2022-11-08 13:07:23.815999985
SCAI-SENSEI,user_sensei_178,1667912844.016,53,574,-2017,2644,2022-11-08 13:07:24.016000032
SCAI-SENSEI,user_sensei_178,1667912844.216,253,645,-1812,2710,2022-11-08 13:07:24.216000080
SCAI-SENSEI,user_sensei_178,1667912844.416,182,785,-1809,2776,2022-11-08 13:07:24.415999889
SCAI-SENSEI,user_sensei_178,1667912844.616,244,833,-1924,3001,2022-11-08 13:07:24.615999937
SCAI-SENSEI,user_sensei_178,1667912844.816,265,718,-1827,2810,2022-11-08 13:07:24.815999985
SCAI-SENSEI,user_sensei_178,1667912845.016,174,782,-1821,2777,2022-11-08 13:07:25.016000032
SCAI-SENSEI,user_sensei_178,1667912845.216,140,762,-1777,2679,2022-11-08 13:07:25.216000080
SCAI-SENSEI,user_sensei_178,1667912845.416,159,802,-1809,2770,2022-11-08 13:07:25.415999889
SCAI-SENSEI,user_sensei_178,1667912845.616,118,795,-1831,2744,2022-11-08 13:07:25.615999937
SCAI-SENSEI,user_sensei_178,1667912845.816,70,793,-1851,2714,2022-11-08 13:07:25.815999985
SCAI-SENSEI,user_sensei_178,1667912846.016,87,785,-1860,2732,2022-11-08 13:07:26.016000032
SCAI-SENSEI,user_sensei_178,1667912846.216,58,798,-1868,2724,2022-11-08 13:07:26.216000080
SCAI-SENSEI,user_sensei_178,1667912846.416,81,768,-1841,2690,2022-11-08 13:07:26.415999889
SCAI-SENSEI,user_sensei_178,1667912846.616,111,771,-1876,2758,2022-11-08 13:07:26.615999937
SCAI-SENSEI,user_sensei_178,1667912846.816,75,780,-1850,2705,2022-11-08 13:07:26.815999985
SCAI-SENSEI,user_sensei_178,1667912847.016,95,773,-1855,2723,2022-11-08 13:07:27.016000032
SCAI-SENSEI,user_sensei_178,1667912847.216,54,798,-1826,2678,2022-11-08 13:07:27.216000080
SCAI-SENSEI,user_sensei_178,1667912847.416,66,780,-1845,2691,2022-11-08 13:07:27.415999889
SCAI-SENSEI,user_sensei_178,1667912847.616,142,757,-1851,2750,2022-11-08 13:07:27.615999937
SCAI-SENSEI,user_sensei_178,1667912847.816,77,809,-1818,2704,2022-11-08 13:07:27.815999985
SCAI-SENSEI,user_sensei_178,1667912848.016,65,795,-1842,2702,2022-11-08 13:07:28.016000032
SCAI-SENSEI,user_sensei_178,1667912848.216,68,793,-1808,2669,2022-11-08 13:07:28.216000080
SCAI-SENSEI,user_sensei_178,1667912848.416,67,817,-1829,2713,2022-11-08 13:07:28.415999889
SCAI-SENSEI,user_sensei_178,1667912848.616,70,782,-1859,2711,2022-11-08 13:07:28.615999937
SCAI-SENSEI,user_sensei_178,1667912848.816,17,825,-1816,2658,2022-11-08 13:07:28.815999985
SCAI-SENSEI,user_sensei_178,1667912849.016,59,822,-1835,2716,2022-11-08 13:07:29.016000032
SCAI-SENSEI,user_sensei_178,1667912849.216,45,797,-1828,2670,2022-11-08 13:07:29.216000080
SCAI-SENSEI,user_sensei_178,1667912849.416,37,831,-1843,2711,2022-11-08 13:07:29.415999889
SCAI-SENSEI,user_sensei_178,1667912849.616,48,829,-1778,2655,2022-11-08 13:07:29.615999937
SCAI-SENSEI,user_sensei_178,1667912849.816,-21,820,-1825,2666,2022-11-08 13:07:29.815999985
SCAI-SENSEI,user_sensei_178,1667912850.016,-105,722,-1759,2586,2022-11-08 13:07:30.016000032
SCAI-SENSEI,user_sensei_178,1667912850.216,1,512,-1991,2504,2022-11-08 13:07:30.216000080
SCAI-SENSEI,user_sensei_178,1667912850.416,-83,342,-1981,2406,2022-11-08 13:07:30.415999889
SCAI-SENSEI,user_sensei_178,1667912850.616,160,438,-2049,2647,2022-11-08 13:07:30.615999937
SCAI-SENSEI,user_sensei_178,1667912850.816,95,533,-1957,2585,2022-11-08 13:07:30.815999985
SCAI-SENSEI,user_sensei_178,1667912851.016,-17,675,-1878,2570,2022-11-08 13:07:31.016000032
SCAI-SENSEI,user_sensei_178,1667912851.216,37,732,-1812,2581,2022-11-08 13:07:31.216000080
SCAI-SENSEI,user_sensei_178,1667912851.416,-18,855,-1827,2700,2022-11-08 13:07:31.415999889
SCAI-SENSEI,user_sensei_178,1667912851.616,-25,823,-1799,2647,2022-11-08 13:07:31.615999937
SCAI-SENSEI,user_sensei_178,1667912851.816,13,894,-1814,2721,2022-11-08 13:07:31.815999985
SCAI-SENSEI,user_sensei_178,1667912852.016,-30,975,-1761,2766,2022-11-08 13:07:32.016000032
SCAI-SENSEI,user_sensei_178,1667912852.216,47,921,-1727,2695,2022-11-08 13:07:32.216000080
SCAI-SENSEI,user_sensei_178,1667912852.416,-1,970,-1859,2830,2022-11-08 13:07:32.415999889
SCAI-SENSEI,user_sensei_178,1667912852.616,69,951,-1731,2751,2022-11-08 13:07:32.615999937
SCAI-SENSEI,user_sensei_178,1667912852.816,16,974,-1711,2701,2022-11-08 13:07:32.815999985
SCAI-SENSEI,user_sensei_178,1667912853.016,32,942,-1765,2739,2022-11-08 13:07:33.016000032
SCAI-SENSEI,user_sensei_178,1667912853.216,-17,987,-1745,2749,2022-11-08 13:07:33.216000080
SCAI-SENSEI,user_sensei_178,1667912853.416,0,907,-1733,2640,2022-11-08 13:07:33.415999889
SCAI-SENSEI,user_sensei_178,1667912853.616,0,934,-1831,2765,2022-11-08 13:07:33.615999937
SCAI-SENSEI,user_sensei_178,1667912853.816,-14,890,-1793,2697,2022-11-08 13:07:33.815999985
SCAI-SENSEI,user_sensei_178,1667912854.016,-19,893,-1810,2722,2022-11-08 13:07:34.016000032
SCAI-SENSEI,user_sensei_178,1667912854.216,-7,869,-1747,2623,2022-11-08 13:07:34.216000080
SCAI-SENSEI,user_sensei_178,1667912854.416,-18,841,-1939,2798,2022-11-08 13:07:34.415999889
SCAI-SENSEI,user_sensei_178,1667912854.616,-31,885,-1777,2693,2022-11-08 13:07:34.615999937
SCAI-SENSEI,user_sensei_178,1667912854.816,6,887,-1837,2730,2022-11-08 13:07:34.815999985
SCAI-SENSEI,user_sensei_178,1667912855.016,43,825,-1792,2660,2022-11-08 13:07:35.016000032
SCAI-SENSEI,user_sensei_178,1667912855.216,-10,854,-1825,2689,2022-11-08 13:07:35.216000080
SCAI-SENSEI,user_sensei_178,1667912855.416,26,831,-1824,2681,2022-11-08 13:07:35.415999889
SCAI-SENSEI,user_sensei_178,1667912855.616,11,823,-1821,2655,2022-11-08 13:07:35.615999937
SCAI-SENSEI,user_sensei_178,1667912855.816,-27,872,-1783,2682,2022-11-08 13:07:35.815999985
SCAI-SENSEI,user_sensei_178,1667912856.016,4,864,-1804,2672,2022-11-08 13:07:36.016000032
SCAI-SENSEI,user_sensei_178,1667912856.216,-47,865,-1820,2732,2022-11-08 13:07:36.216000080
SCAI-SENSEI,user_sensei_178,1667912856.416,-35,859,-1812,2706,2022-11-08 13:07:36.415999889
SCAI-SENSEI,user_sensei_178,1667912856.616,-28,834,-1824,2686,2022-11-08 13:07:36.615999937
SCAI-SENSEI,user_sensei_178,1667912856.816,-20,857,-1801,2678,2022-11-08 13:07:36.815999985
SCAI-SENSEI,user_sensei_178,1667912857.016,-25,851,-1813,2689,2022-11-08 13:07:37.016000032
SCAI-SENSEI,user_sensei_178,1667912857.216,-15,829,-1809,2653,2022-11-08 13:07:37.216000080
SCAI-SENSEI,user_sensei_178,1667912857.416,-31,843,-1827,2701,2022-11-08 13:07:37.415999889
SCAI-SENSEI,user_sensei_178,1667912857.616,-24,866,-1799,2689,2022-11-08 13:07:37.615999937
SCAI-SENSEI,user_sensei_178,1667912857.816,-49,855,-1778,2682,2022-11-08 13:07:37.815999985
SCAI-SENSEI,user_sensei_178,1667912858.016,-27,845,-1817,2689,2022-11-08 13:07:38.016000032
SCAI-SENSEI,user_sensei_178,1667912858.216,-89,816,-1883,2788,2022-11-08 13:07:38.216000080
SCAI-SENSEI,user_sensei_178,1667912858.416,27,834,-1772,2633,2022-11-08 13:07:38.415999889
SCAI-SENSEI,user_sensei_178,1667912858.616,-281,1014,-1843,3138,2022-11-08 13:07:38.615999937
SCAI-SENSEI,user_sensei_178,1667912858.816,-250,1035,-1493,2778,2022-11-08 13:07:38.815999985
SCAI-SENSEI,user_sensei_178,1667912859.016,-216,287,-2270,2773,2022-11-08 13:07:39.016000032
SCAI-SENSEI,user_sensei_178,1667912859.216,43,620,-1589,2252,2022-11-08 13:07:39.216000080
SCAI-SENSEI,user_sensei_178,1667912859.416,-589,741,-1918,3248,2022-11-08 13:07:39.415999889
SCAI-SENSEI,user_sensei_178,1667912859.616,-70,870,-1775,2715,2022-11-08 13:07:39.615999937
SCAI-SENSEI,user_sensei_178,1667912859.816,56,715,-1906,2677,2022-11-08 13:07:39.815999985
SCAI-SENSEI,user_sensei_178,1667912860.016,-27,900,-1698,2625,2022-11-08 13:07:40.016000032
SCAI-SENSEI,user_sensei_178,1667912860.216,-281,1056,-1693,3030,2022-11-08 13:07:40.216000080
SCAI-SENSEI,user_sensei_178,1667912860.416,-228,939,-1764,2931,2022-11-08 13:07:40.415999889
SCAI-SENSEI,user_sensei_178,1667912860.616,-245,1062,-1783,3090,2022-11-08 13:07:40.615999937
SCAI-SENSEI,user_sensei_178,1667912860.816,-502,920,-1174,2596,2022-11-08 13:07:40.815999985
SCAI-SENSEI,user_sensei_178,1667912861.016,27,389,-2516,2932,2022-11-08 13:07:41.016000032
SCAI-SENSEI,user_sensei_178,1667912861.216,58,481,-1981,2520,2022-11-08 13:07:41.216000080
SCAI-SENSEI,user_sensei_178,1667912861.416,-469,907,-1990,3366,2022-11-08 13:07:41.415999889
SCAI-SENSEI,user_sensei_178,1667912861.616,-49,544,-2055,2648,2022-11-08 13:07:41.615999937
SCAI-SENSEI,user_sensei_178,1667912861.816,100,456,-1807,2363,2022-11-08 13:07:41.815999985
SCAI-SENSEI,user_sensei_178,1667912862.016,-701,621,-1969,3291,2022-11-08 13:07:42.016000032
SCAI-SENSEI,user_sensei_178,1667912862.216,-164,544,-1877,2585,2022-11-08 13:07:42.216000080
SCAI-SENSEI,user_sensei_178,1667912862.416,24,796,-1959,2779,2022-11-08 13:07:42.415999889
SCAI-SENSEI,user_sensei_178,1667912862.616,76,692,-1597,2365,2022-11-08 13:07:42.615999937
SCAI-SENSEI,user_sensei_178,1667912862.816,-152,833,-1786,2771,2022-11-08 13:07:42.815999985
SCAI-SENSEI,user_sensei_178,1667912863.016,156,864,-1666,2686,2022-11-08 13:07:43.016000032
SCAI-SENSEI,user_sensei_178,1667912863.216,-7,934,-1797,2738,2022-11-08 13:07:43.216000080
SCAI-SENSEI,user_sensei_178,1667912863.416,68,916,-1751,2735,2022-11-08 13:07:43.415999889
SCAI-SENSEI,user_sensei_178,1667912863.616,57,913,-1760,2730,2022-11-08 13:07:43.615999937
SCAI-SENSEI,user_sensei_178,1667912863.816,58,1016,-1771,2845,2022-11-08 13:07:43.815999985
SCAI-SENSEI,user_sensei_178,1667912864.016,77,949,-1729,2755,2022-11-08 13:07:44.016000032
SCAI-SENSEI,user_sensei_178,1667912864.216,37,974,-1779,2790,2022-11-08 13:07:44.216000080
SCAI-SENSEI,user_sensei_178,1667912864.416,106,961,-1739,2806,2022-11-08 13:07:44.415999889
SCAI-SENSEI,user_sensei_178,1667912864.616,61,979,-1747,2787,2022-11-08 13:07:44.615999937
SCAI-SENSEI,user_sensei_178,1667912864.816,53,943,-1754,2750,2022-11-08 13:07:44.815999985
SCAI-SENSEI,user_sensei_178,1667912865.016,101,970,-1800,2871,2022-11-08 13:07:45.016000032
