projectId,userId,time,x,y,z,1d_signal,timestamp,alignment_point
SCAI-SENSEI,user_sensei_178,1667912839.43141,208,415,-1934,2557,2022-11-08 13:07:19.431410074,
SCAI-SENSEI,user_sensei_178,1667912839.63328,83,597,-2088,2768,2022-11-08 13:07:19.633280039,
SCAI-SENSEI,user_sensei_178,1667912839.83515,124,579,-1896,2599,2022-11-08 13:07:19.835150003,
SCAI-SENSEI,user_sensei_178,1667912840.03702,90,513,-1869,2472,2022-11-08 13:07:20.037019968,
SCAI-SENSEI,user_sensei_178,1667912840.23889,448,421,-2006,2875,2022-11-08 13:07:20.238889933,
SCAI-SENSEI,user_sensei_178,1667912840.4407601,572,1202,-1850,3624,2022-11-08 13:07:20.440760136,
SCAI-SENSEI,user_sensei_178,1667912840.64263,112,632,-1388,2132,2022-11-08 13:07:20.642630100,
SCAI-SENSEI,user_sensei_178,1667912840.8445,210,-185,-1843,2238,2022-11-08 13:07:20.844500065,
SCAI-SENSEI,user_sensei_178,1667912841.04637,143,322,-2040,2505,2022-11-08 13:07:21.046370029,
SCAI-SENSEI,user_sensei_178,1667912841.24824,323,136,-1959,2418,2022-11-08 13:07:21.248239994,
SCAI-SENSEI,user_sensei_178,1667912841.4501102,619,30,-1872,2521,2022-11-08 13:07:21.450110197,
SCAI-SENSEI,user_sensei_178,1667912841.6519802,195,666,-1858,2719,2022-11-08 13:07:21.651980162,
SCAI-SENSEI,user_sensei_178,1667912841.85385,423,398,-1813,2634,2022-11-08 13:07:21.853849888,
SCAI-SENSEI,user_sensei_178,1667912842.05572,526,-29,-2204,2759,2022-11-08 13:07:22.055720091,
SCAI-SENSEI,user_sensei_178,1667912842.25759,-312,499,-1955,2766,2022-11-08 13:07:22.257590054,
SCAI-SENSEI,user_sensei_178,1667912842.45946,-325,203,-2261,2789,2022-11-08 13:07:22.459460020,
SCAI-SENSEI,user_sensei_178,1667912842.6613302,166,1018,-1726,2910,2022-11-08 13:07:22.661330223,
SCAI-SENSEI,user_sensei_178,1667912842.8632,74,60,-2488,2622,2022-11-08 13:07:22.863199949,
SCAI-SENSEI,user_sensei_178,1667912843.06507,184,198,-1986,2368,2022-11-08 13:07:23.065069914,
SCAI-SENSEI,user_sensei_178,1667912843.26694,80,365,-1812,2257,2022-11-08 13:07:23.266940116,
SCAI-SENSEI,user_sensei_178,1667912843.46881,53,574,-2017,2644,2022-11-08 13:07:23.468810081,
SCAI-SENSEI,user_sensei_178,1667912843.67068,253,645,-1812,2710,2022-11-08 13:07:23.670680046,
SCAI-SENSEI,user_sensei_178,1667912843.87255,182,785,-1809,2776,2022-11-08 13:07:23.872550011,
SCAI-SENSEI,user_sensei_178,1667912844.07442,244,833,-1924,3001,2022-11-08 13:07:24.074419975,
SCAI-SENSEI,user_sensei_178,1667912844.27629,265,718,-1827,2810,2022-11-08 13:07:24.276289940,
SCAI-SENSEI,user_sensei_178,1667912844.4781601,174,782,-1821,2777,2022-11-08 13:07:24.478160143,
SCAI-SENSEI,user_sensei_178,1667912844.68003,140,762,-1777,2679,2022-11-08 13:07:24.680030107,
SCAI-SENSEI,user_sensei_178,1667912844.8818998,159,802,-1809,2770,2022-11-08 13:07:24.881899834,
SCAI-SENSEI,user_sensei_178,1667912845.08377,118,795,-1831,2744,2022-11-08 13:07:25.083770037,
SCAI-SENSEI,user_sensei_178,1667912845.28564,70,793,-1851,2714,2022-11-08 13:07:25.285640001,
SCAI-SENSEI,user_sensei_178,1667912845.4875102,87,785,-1860,2732,2022-11-08 13:07:25.487510204,
SCAI-SENSEI,user_sensei_178,1667912845.6893802,58,798,-1868,2724,2022-11-08 13:07:25.689380169,
SCAI-SENSEI,user_sensei_178,1667912845.89125,81,768,-1841,2690,2022-11-08 13:07:25.891249895,
SCAI-SENSEI,user_sensei_178,1667912846.09312,111,771,-1876,2758,2022-11-08 13:07:26.093120098,
SCAI-SENSEI,user_sensei_178,1667912846.29499,75,780,-1850,2705,2022-11-08 13:07:26.294990063,
SCAI-SENSEI,user_sensei_178,1667912846.49686,95,773,-1855,2723,2022-11-08 13:07:26.496860027,
SCAI-SENSEI,user_sensei_178,1667912846.6987302,54,798,-1826,2678,2022-11-08 13:07:26.698730230,
SCAI-SENSEI,user_sensei_178,1667912846.9006,66,780,-1845,2691,2022-11-08 13:07:26.900599957,
SCAI-SENSEI,user_sensei_178,1667912847.10247,142,757,-1851,2750,2022-11-08 13:07:27.102469921,
SCAI-SENSEI,user_sensei_178,1667912847.3043401,77,809,-1818,2704,2022-11-08 13:07:27.304340124,
SCAI-SENSEI,user_sensei_178,1667912847.50621,65,795,-1842,2702,2022-11-08 13:07:27.506210089,
SCAI-SENSEI,user_sensei_178,1667912847.70808,68,793,-1808,2669,2022-11-08 13:07:27.708080053,
SCAI-SENSEI,user_sensei_178,1667912847.90995,67,817,-1829,2713,2022-11-08 13:07:27.909950018,
SCAI-SENSEI,user_sensei_178,1667912848.11182,70,782,-1859,2711,2022-11-08 13:07:28.111819983,
SCAI-SENSEI,user_sensei_178,1667912848.31369,17,825,-1816,2658,2022-11-08 13:07:28.313689947,
SCAI-SENSEI,user_sensei_178,1667912848.5155602,59,822,-1835,2716,2022-11-08 13:07:28.515560150,
SCAI-SENSEI,user_sensei_178,1667912848.71743,45,797,-1828,2670,2022-11-08 13:07:28.717430115,
SCAI-SENSEI,user_sensei_178,1667912848.9193,37,831,-1843,2711,2022-11-08 13:07:28.919300079,
SCAI-SENSEI,user_sensei_178,1667912849.12117,48,829,-1778,2655,2022-11-08 13:07:29.121170044,
