time,projectId,userId,metric_id,chunk_index,quality,body_pose,accX,accY,accZ,1d_signal,timestamp,alignment_point
1668441531.8771424,TEST,user-test-000,0x2b,137,4,1,-22,-32,511,565,2022-11-14 15:58:51.877142429,
1668441531.9081218,TEST,user-test-000,0x2b,137,4,1,-22,-33,510,565,2022-11-14 15:58:51.908121824,
1668441531.9391012,TEST,user-test-000,0x2b,137,4,1,-23,-34,510,567,2022-11-14 15:58:51.939101219,
1668441531.9700806,TEST,user-test-000,0x2b,137,4,1,-23,-35,510,568,2022-11-14 15:58:51.970080614,
1668441532.0020597,TEST,user-test-000,0x2b,137,4,1,-23,-32,509,564,2022-11-14 15:58:52.002059698,
1668441532.0330386,TEST,user-test-000,0x2b,137,4,1,-21,-33,510,564,2022-11-14 15:58:52.033038616,
1668441532.0640182,TEST,user-test-000,0x2b,137,4,1,-20,-34,509,563,2022-11-14 15:58:52.064018250,
1668441532.0949974,TEST,user-test-000,0x2b,137,4,1,-19,-36,508,563,2022-11-14 15:58:52.094997406,
1668441532.1269765,TEST,user-test-000,0x2b,137,4,1,-19,-36,507,562,2022-11-14 15:58:52.126976490,
1668441532.1579556,TEST,user-test-000,0x2b,137,4,1,-19,-36,504,559,2022-11-14 15:58:52.157955647,
1668441532.188935,TEST,user-test-000,0x2b,137,4,1,-18,-36,501,555,2022-11-14 15:58:52.188935041,
1668441532.2199144,TEST,user-test-000,0x2b,137,4,1,-17,-35,500,552,2022-11-14 15:58:52.219914436,
1668441532.2518933,TEST,user-test-000,0x2b,137,4,1,-18,-36,502,556,2022-11-14 15:58:52.251893282,
1668441532.2828724,TEST,user-test-000,0x2b,137,4,1,-20,-36,514,570,2022-11-14 15:58:52.282872438,
1668441532.313852,TEST,user-test-000,0x2b,137,4,1,-22,-35,513,570,2022-11-14 15:58:52.313852072,
1668441532.3448317,TEST,user-test-000,0x2b,137,4,1,-20,-32,510,562,2022-11-14 15:58:52.344831705,
1668441532.37681,TEST,user-test-000,0x2b,137,4,1,-18,-30,509,557,2022-11-14 15:58:52.376810074,
1668441532.4077897,TEST,user-test-000,0x2b,137,4,1,-21,-30,506,557,2022-11-14 15:58:52.407789707,
1668441532.438769,TEST,user-test-000,0x2b,137,4,1,-21,-33,508,562,2022-11-14 15:58:52.438769102,
1668441532.4697485,TEST,user-test-000,0x2b,137,4,1,-10,-29,523,562,2022-11-14 15:58:52.469748497,
1668441532.501727,TEST,user-test-000,0x2b,137,4,1,-4,-25,533,562,2022-11-14 15:58:52.501727104,
1668441532.5327065,TEST,user-test-000,0x2b,137,4,1,-16,-24,524,564,2022-11-14 15:58:52.532706499,
1668441532.563686,TEST,user-test-000,0x2b,137,4,1,-16,-27,513,556,2022-11-14 15:58:52.563685894,
1668441532.5946653,TEST,user-test-000,0x2b,137,4,1,-17,-34,516,567,2022-11-14 15:58:52.594665289,
1668441532.626644,TEST,user-test-000,0x2b,137,4,1,-21,-36,515,572,2022-11-14 15:58:52.626643896,
1668441532.6576233,TEST,user-test-000,0x2b,137,4,1,-23,-33,511,567,2022-11-14 15:58:52.657623291,
1668441532.688603,TEST,user-test-000,0x2b,137,4,1,-23,-33,517,573,2022-11-14 15:58:52.688602924,
1668441532.7195823,TEST,user-test-000,0x2b,137,4,1,-22,-30,506,558,2022-11-14 15:58:52.719582319,
1668441532.751561,TEST,user-test-000,0x2b,137,4,1,-23,-32,501,556,2022-11-14 15:58:52.751560926,
1668441532.7825403,TEST,user-test-000,0x2b,137,4,1,-23,-35,501,559,2022-11-14 15:58:52.782540321,
1668441532.81352,TEST,user-test-000,0x2b,137,4,1,-22,-34,503,559,2022-11-14 15:58:52.813519955,
1668441532.844499,TEST,user-test-000,0x2b,137,4,1,-22,-31,512,565,2022-11-14 15:58:52.844499111,
1668441532.876478,TEST,user-test-000,0x2b,138,4,1,-20,-33,512,565,2022-11-14 15:58:52.876477957,
1668441532.9074574,TEST,user-test-000,0x2b,138,4,1,-19,-33,511,563,2022-11-14 15:58:52.907457352,
1668441532.9384367,TEST,user-test-000,0x2b,138,4,1,-20,-31,512,563,2022-11-14 15:58:52.938436747,
1668441532.969416,TEST,user-test-000,0x2b,138,4,1,-20,-35,515,570,2022-11-14 15:58:52.969415903,
1668441533.001395,TEST,user-test-000,0x2b,138,4,1,-20,-36,518,574,2022-11-14 15:58:53.001394987,
1668441533.032374,TEST,user-test-000,0x2b,138,4,1,-22,-37,515,574,2022-11-14 15:58:53.032373905,
1668441533.0633538,TEST,user-test-000,0x2b,138,4,1,-25,-40,514,579,2022-11-14 15:58:53.063353777,
1668441533.094333,TEST,user-test-000,0x2b,138,4,1,-30,-45,521,596,2022-11-14 15:58:53.094332933,
1668441533.1263118,TEST,user-test-000,0x2b,138,4,1,-16,-41,519,576,2022-11-14 15:58:53.126311779,
1668441533.1572912,TEST,user-test-000,0x2b,138,4,1,-15,-34,509,558,2022-11-14 15:58:53.157291174,
1668441533.1882706,TEST,user-test-000,0x2b,138,4,1,-17,-31,504,552,2022-11-14 15:58:53.188270569,
1668441533.21925,TEST,user-test-000,0x2b,138,4,1,-19,-35,507,561,2022-11-14 15:58:53.219249964,
1668441533.2512288,TEST,user-test-000,0x2b,138,4,1,-21,-35,504,560,2022-11-14 15:58:53.251228809,
1668441533.282208,TEST,user-test-000,0x2b,138,4,1,-18,-34,515,567,2022-11-14 15:58:53.282207966,
1668441533.3131876,TEST,user-test-000,0x2b,138,4,1,-20,-32,522,574,2022-11-14 15:58:53.313187599,
