projectId,userId,time,x,y,z,1d_signal,timestamp,alignment_point
SCAI-SENSEI,user_sensei_223,1668441552.689408,238,215,2025,2478,2022-11-14 15:59:12.689408064,
SCAI-SENSEI,user_sensei_223,1668441552.888898,196,237,2161,2594,2022-11-14 15:59:12.888897896,
SCAI-SENSEI,user_sensei_223,1668441553.0883875,-3,291,2031,2325,2022-11-14 15:59:13.088387489,
SCAI-SENSEI,user_sensei_223,1668441553.287877,-14,50,2078,2142,2022-11-14 15:59:13.287877083,
SCAI-SENSEI,user_sensei_223,1668441553.4873672,6,-56,2062,2124,2022-11-14 15:59:13.487367153,
SCAI-SENSEI,user_sensei_223,1668441553.686857,15,9,2156,2180,2022-11-14 15:59:13.686856985,
SCAI-SENSEI,user_sensei_223,1668441553.8863468,-17,191,2121,2329,2022-11-14 15:59:13.886346817,
SCAI-SENSEI,user_sensei_223,1668441554.0858364,75,253,2124,2452,2022-11-14 15:59:14.085836411,
SCAI-SENSEI,user_sensei_223,1668441554.2853262,176,168,2015,2359,2022-11-14 15:59:14.285326242,
SCAI-SENSEI,user_sensei_223,1668441554.484816,168,68,2080,2316,2022-11-14 15:59:14.484816074,
SCAI-SENSEI,user_sensei_223,1668441554.684306,123,29,1930,2082,2022-11-14 15:59:14.684305906,
SCAI-SENSEI,user_sensei_223,1668441554.8837955,255,174,2118,2547,2022-11-14 15:59:14.883795500,
SCAI-SENSEI,user_sensei_223,1668441555.083285,404,231,2073,2708,2022-11-14 15:59:15.083285093,
SCAI-SENSEI,user_sensei_223,1668441555.2827752,475,72,1935,2482,2022-11-14 15:59:15.282775164,
SCAI-SENSEI,user_sensei_223,1668441555.482265,557,2,1962,2521,2022-11-14 15:59:15.482264996,
SCAI-SENSEI,user_sensei_223,1668441555.6817548,563,298,1957,2818,2022-11-14 15:59:15.681754827,
SCAI-SENSEI,user_sensei_223,1668441555.881245,474,278,2205,2957,2022-11-14 15:59:15.881244898,
SCAI-SENSEI,user_sensei_223,1668441556.0807345,488,116,2164,2768,2022-11-14 15:59:16.080734491,
SCAI-SENSEI,user_sensei_223,1668441556.2802243,447,138,1980,2565,2022-11-14 15:59:16.280224323,
SCAI-SENSEI,user_sensei_223,1668441556.4797142,427,110,2055,2592,2022-11-14 15:59:16.479714155,
