projectId,userId,time,x,y,z,1d_signal,timestamp,alignment_point
SCAI-SENSEI,user_sensei_223,1668441553.439408,238,215,2025,2478,2022-11-14 15:59:13.439408064,
SCAI-SENSEI,user_sensei_223,1668441553.638898,196,237,2161,2594,2022-11-14 15:59:13.638897896,
SCAI-SENSEI,user_sensei_223,1668441553.8383875,-3,291,2031,2325,2022-11-14 15:59:13.838387489,
SCAI-SENSEI,user_sensei_223,1668441554.037877,-14,50,2078,2142,2022-11-14 15:59:14.037877083,
SCAI-SENSEI,user_sensei_223,1668441554.2373672,6,-56,2062,2124,2022-11-14 15:59:14.237367153,
SCAI-SENSEI,user_sensei_223,1668441554.436857,15,9,2156,2180,2022-11-14 15:59:14.436856985,
SCAI-SENSEI,user_sensei_223,1668441554.6363468,-17,191,2121,2329,2022-11-14 15:59:14.636346817,
SCAI-SENSEI,user_sensei_223,1668441554.8358364,75,253,2124,2452,2022-11-14 15:59:14.835836411,
SCAI-SENSEI,user_sensei_223,1668441555.0353262,176,168,2015,2359,2022-11-14 15:59:15.035326242,
SCAI-SENSEI,user_sensei_223,1668441555.234816,168,68,2080,2316,2022-11-14 15:59:15.234816074,
SCAI-SENSEI,user_sensei_223,1668441555.434306,123,29,1930,2082,2022-11-14 15:59:15.434305906,
SCAI-SENSEI,user_sensei_223,1668441555.6337955,255,174,2118,2547,2022-11-14 15:59:15.633795500,
SCAI-SENSEI,user_sensei_223,1668441555.833285,404,231,2073,2708,2022-11-14 15:59:15.833285093,
SCAI-SENSEI,user_sensei_223,1668441556.0327752,475,72,1935,2482,2022-11-14 15:59:16.032775164,
SCAI-SENSEI,user_sensei_223,1668441556.232265,557,2,1962,2521,2022-11-14 15:59:16.232264996,
SCAI-SENSEI,user_sensei_223,1668441556.4317548,563,298,1957,2818,2022-11-14 15:59:16.431754827,
SCAI-SENSEI,user_sensei_223,1668441556.631245,474,278,2205,2957,2022-11-14 15:59:16.631244898,
SCAI-SENSEI,user_sensei_223,1668441556.8307345,488,116,2164,2768,2022-11-14 15:59:16.830734491,
SCAI-SENSEI,user_sensei_223,1668441557.0302243,447,138,1980,2565,2022-11-14 15:59:17.030224323,
SCAI-SENSEI,user_sensei_223,1668441557.2297142,427,110,2055,2592,2022-11-14 15:59:17.229714155,
SCAI-SENSEI,user_sensei_223,1668441557.429204,365,-30,2073,2468,2022-11-14 15:59:17.429203987,
SCAI-SENSEI,user_sensei_223,1668441557.6286938,412,89,2042,2543,2022-11-14 15:59:17.628693819,
SCAI-SENSEI,user_sensei_223,1668441557.8281834,493,173,2038,2704,2022-11-14 15:59:17.828183413,
SCAI-SENSEI,user_sensei_223,1668441558.0276732,548,91,1966,2605,2022-11-14 15:59:18.027673244,
SCAI-SENSEI,user_sensei_223,1668441558.227163,710,1,1943,2654,2022-11-14 15:59:18.227163076,
SCAI-SENSEI,user_sensei_223,1668441558.426653,456,325,1831,2612,2022-11-14 15:59:18.426652908,
SCAI-SENSEI,user_sensei_223,1668441558.6261427,214,223,2212,2649,2022-11-14 15:59:18.626142740,
SCAI-SENSEI,user_sensei_223,1668441558.8256323,164,-6,1993,2163,2022-11-14 15:59:18.825632334,
SCAI-SENSEI,user_sensei_223,1668441559.0251222,449,131,2054,2634,2022-11-14 15:59:19.025122166,
SCAI-SENSEI,user_sensei_223,1668441559.224612,389,329,2016,2734,2022-11-14 15:59:19.224611998,
SCAI-SENSEI,user_sensei_223,1668441559.4241018,368,374,2125,2867,2022-11-14 15:59:19.424101830,
SCAI-SENSEI,user_sensei_223,1668441559.6235917,387,208,2007,2602,2022-11-14 15:59:19.623591661,
SCAI-SENSEI,user_sensei_223,1668441559.8230815,354,132,2052,2538,2022-11-14 15:59:19.823081493,
SCAI-SENSEI,user_sensei_223,1668441560.022571,432,130,2043,2605,2022-11-14 15:59:20.022571087,
SCAI-SENSEI,user_sensei_223,1668441560.2220612,438,72,2032,2542,2022-11-14 15:59:20.222061157,
SCAI-SENSEI,user_sensei_223,1668441560.421551,428,89,2003,2520,2022-11-14 15:59:20.421550989,
SCAI-SENSEI,user_sensei_223,1668441560.6210408,372,47,2017,2436,2022-11-14 15:59:20.621040821,
SCAI-SENSEI,user_sensei_223,1668441560.8205304,378,52,2122,2552,2022-11-14 15:59:20.820530415,
