time,projectId,userId,metric_id,chunk_index,quality,body_pose,accX,accY,accZ,1d_signal,timestamp,alignment_point
1669970641.356564,TEST,user-test-000,0x2b,57,4,1,-5,473,0,478,2022-12-02 08:44:01.356564045,
1669970641.387626,TEST,user-test-000,0x2b,57,4,1,-5,476,-2,483,2022-12-02 08:44:01.387625933,
1669970641.418688,TEST,user-test-000,0x2b,57,4,1,-3,472,-3,478,2022-12-02 08:44:01.418688059,
1669970641.44975,TEST,user-test-000,0x2b,57,4,1,-4,470,-3,477,2022-12-02 08:44:01.449749947,
1669970641.4818141,TEST,user-test-000,0x2b,57,4,1,-5,472,-1,478,2022-12-02 08:44:01.481814146,
1669970641.512876,TEST,user-test-000,0x2b,57,4,1,-4,472,-1,477,2022-12-02 08:44:01.512876034,
1669970641.5439382,TEST,user-test-000,0x2b,57,4,1,-5,472,-2,479,2022-12-02 08:44:01.543938160,
1669970641.575,TEST,user-test-000,0x2b,57,4,1,-7,472,-2,481,2022-12-02 08:44:01.575000048,
1669970641.607064,TEST,user-test-000,0x2b,57,4,1,-6,471,0,477,2022-12-02 08:44:01.607064009,
1669970641.638126,TEST,user-test-000,0x2b,57,4,1,-5,471,-1,477,2022-12-02 08:44:01.638125896,
1669970641.669188,TEST,user-test-000,0x2b,57,4,1,-4,473,-3,480,2022-12-02 08:44:01.669188023,
1669970641.70025,TEST,user-test-000,0x2b,57,4,1,-4,474,-4,482,2022-12-02 08:44:01.700249910,
1669970641.732314,TEST,user-test-000,0x2b,57,4,1,-6,471,-5,482,2022-12-02 08:44:01.732314110,
1669970641.763376,TEST,user-test-000,0x2b,57,4,1,-3,471,-2,476,2022-12-02 08:44:01.763375998,
1669970641.7944381,TEST,user-test-000,0x2b,57,4,1,-3,470,0,473,2022-12-02 08:44:01.794438124,
1669970641.8255,TEST,user-test-000,0x2b,57,4,1,-5,471,0,476,2022-12-02 08:44:01.825500011,
1669970641.857564,TEST,user-test-000,0x2b,57,4,1,-6,472,0,478,2022-12-02 08:44:01.857563972,
1669970641.888626,TEST,user-test-000,0x2b,57,4,1,-5,472,0,477,2022-12-02 08:44:01.888626099,
1669970641.9196882,TEST,user-test-000,0x2b,57,4,1,-4,471,-1,476,2022-12-02 08:44:01.919688225,
1669970641.95075,TEST,user-test-000,0x2b,57,4,1,-4,473,0,477,2022-12-02 08:44:01.950750113,
1669970641.982814,TEST,user-test-000,0x2b,57,4,1,-4,474,0,478,2022-12-02 08:44:01.982814074,
1669970642.013876,TEST,user-test-000,0x2b,57,4,1,-6,472,-2,480,2022-12-02 08:44:02.013875961,
1669970642.044938,TEST,user-test-000,0x2b,57,4,1,-6,472,-2,480,2022-12-02 08:44:02.044938087,
1669970642.076,TEST,user-test-000,0x2b,57,4,1,-7,472,0,479,2022-12-02 08:44:02.075999975,
1669970642.1080642,TEST,user-test-000,0x2b,57,4,1,-5,473,-1,479,2022-12-02 08:44:02.108064175,
1669970642.139126,TEST,user-test-000,0x2b,57,4,1,-4,473,-3,480,2022-12-02 08:44:02.139126062,
1669970642.1701882,TEST,user-test-000,0x2b,57,4,1,-4,477,-2,483,2022-12-02 08:44:02.170188189,
1669970642.20125,TEST,user-test-000,0x2b,57,4,1,-4,473,-3,480,2022-12-02 08:44:02.201250076,
1669970642.233314,TEST,user-test-000,0x2b,57,4,1,-5,472,-3,480,2022-12-02 08:44:02.233314037,
