time,projectId,userId,acc_x,acc_y,acc_z,1d_signal,timestamp
1669970640.002,SCAI-SENSEI,sensei-237,0.096,-0.057,-0.996,1.149,2022-12-02 08:44:00.002000093
1669970640.012,SCAI-SENSEI,sensei-237,0.098,-0.057,-0.998,1.153,2022-12-02 08:44:00.012000084
1669970640.022,SCAI-SENSEI,sensei-237,0.096,-0.055,-0.998,1.149,2022-12-02 08:44:00.022000074
1669970640.032,SCAI-SENSEI,sensei-237,0.096,-0.059,-0.998,1.153,2022-12-02 08:44:00.032000065
1669970640.042,SCAI-SENSEI,sensei-237,0.096,-0.055,-0.998,1.149,2022-12-02 08:44:00.042000055
1669970640.052,SCAI-SENSEI,sensei-237,0.096,-0.055,-1.0,1.151,2022-12-02 08:44:00.052000046
1669970640.062,SCAI-SENSEI,sensei-237,0.094,-0.055,-0.998,1.147,2022-12-02 08:44:00.062000036
1669970640.072,SCAI-SENSEI,sensei-237,0.096,-0.055,-0.998,1.149,2022-12-02 08:44:00.072000027
1669970640.082,SCAI-SENSEI,sensei-237,0.096,-0.057,-0.98,1.133,2022-12-02 08:44:00.082000017
1669970640.092,SCAI-SENSEI,sensei-237,0.096,-0.059,-0.998,1.153,2022-12-02 08:44:00.092000008
1669970640.102,SCAI-SENSEI,sensei-237,0.096,-0.053,-0.998,1.147,2022-12-02 08:44:00.101999998
1669970640.112,SCAI-SENSEI,sensei-237,0.096,-0.057,-0.998,1.151,2022-12-02 08:44:00.111999989
1669970640.122,SCAI-SENSEI,sensei-237,0.096,-0.055,-1.0,1.151,2022-12-02 08:44:00.121999979
1669970640.132,SCAI-SENSEI,sensei-237,0.094,-0.057,-0.998,1.149,2022-12-02 08:44:00.131999969
1669970640.142,SCAI-SENSEI,sensei-237,0.096,-0.055,-0.998,1.149,2022-12-02 08:44:00.141999960
1669970640.152,SCAI-SENSEI,sensei-237,0.096,-0.053,-0.998,1.147,2022-12-02 08:44:00.151999950
1669970640.162,SCAI-SENSEI,sensei-237,0.096,-0.055,-0.998,1.149,2022-12-02 08:44:00.161999941
1669970640.172,SCAI-SENSEI,sensei-237,0.096,-0.057,-0.998,1.151,2022-12-02 08:44:00.171999931
1669970640.182,SCAI-SENSEI,sensei-237,0.096,-0.057,-0.996,1.149,2022-12-02 08:44:00.181999922
1669970640.192,SCAI-SENSEI,sensei-237,0.098,-0.055,-0.998,1.151,2022-12-02 08:44:00.191999912
1669970640.202,SCAI-SENSEI,sensei-237,0.096,-0.055,-0.998,1.149,2022-12-02 08:44:00.201999903
1669970640.212,SCAI-SENSEI,sensei-237,0.096,-0.055,-1.0,1.151,2022-12-02 08:44:00.211999893
1669970640.222,SCAI-SENSEI,sensei-237,0.094,-0.055,-1.0,1.149,2022-12-02 08:44:00.221999884
1669970640.232,SCAI-SENSEI,sensei-237,0.094,-0.053,-0.996,1.143,2022-12-02 08:44:00.232000113
1669970640.242,SCAI-SENSEI,sensei-237,0.098,-0.057,-0.996,1.151,2022-12-02 08:44:00.242000103
1669970640.252,SCAI-SENSEI,sensei-237,0.098,-0.055,-0.998,1.151,2022-12-02 08:44:00.252000092
1669970640.262,SCAI-SENSEI,sensei-237,0.096,-0.057,-1.0,1.153,2022-12-02 08:44:00.262000084
1669970640.272,SCAI-SENSEI,sensei-237,0.094,-0.055,-0.996,1.145,2022-12-02 08:44:00.272000074
1669970640.282,SCAI-SENSEI,sensei-237,0.098,-0.057,-0.996,1.151,2022-12-02 08:44:00.282000065
1669970640.292,SCAI-SENSEI,sensei-237,0.098,-0.055,-0.998,1.151,2022-12-02 08:44:00.292000055
1669970640.302,SCAI-SENSEI,sensei-237,0.096,-0.059,-0.998,1.153,2022-12-02 08:44:00.302000046
1669970640.312,SCAI-SENSEI,sensei-237,0.096,-0.057,-1.0,1.153,2022-12-02 08:44:00.312000036
1669970640.322,SCAI-SENSEI,sensei-237,0.094,-0.055,-0.994,1.143,2022-12-02 08:44:00.322000027
1669970640.332,SCAI-SENSEI,sensei-237,0.1,-0.059,-0.998,1.157,2022-12-02 08:44:00.332000017
1669970640.342,SCAI-SENSEI,sensei-237,0.096,-0.055,-1.0,1.151,2022-12-02 08:44:00.342000008
1669970640.352,SCAI-SENSEI,sensei-237,0.094,-0.055,-1.0,1.149,2022-12-02 08:44:00.351999998
1669970640.362,SCAI-SENSEI,sensei-237,0.094,-0.055,-0.998,1.147,2022-12-02 08:44:00.361999989
1669970640.372,SCAI-SENSEI,sensei-237,0.096,-0.057,-0.998,1.151,2022-12-02 08:44:00.371999979
